gene,in_canonical_exclusion
AC007952.4,False
AC007991.2,False
AC105460.1,False
AL161431.1,False
ANXA2,False
APOL1,False
ASS1,False
ATP5MF,False
BSG,False
BST2,False
C19orf48,False
CALB1,False
CCL5,False
CCNB1,False
CCND1,False
CCT8,False
CD46,False
CD47,False
CD74,False
CDKN2A,False
CKS1B,False
CKS2,False
CLDN1,False
CLDN2,False
COX6A1,False
CSKMT,False
CXCL1,False
CXCL10,False
CXCL11,False
CXCL2,False
CXCL3,False
CXCL5,False
CXCL8,False
CXCL9,False
DMKN,False
ECT2,False
EIF5A,False
ENO1,False
FOXQ1,False
GBP1,False
GBP4,False
GBP5,False
GNLY,False
H2AFZ,False
HLA-C,False
HLA-DQB1,False
HLA-DRB5,False
HMGA1,False
HMGB2,False
HMGN2,False
HNRNPA3,False
HSP90AB1,False
HSPD1,False
HSPE1,False
ICAM1,False
IDO1,False
IFI27,False
IFI44,False
IFI6,False
IFIT3,False
IFITM3,False
IL32,False
IRF1,False
ISG15,False
KPNA2,False
KRT18,False
KRTCAP3,False
LAP3,False
LDHB,False
LY6E,False
LYZ,False
MARCKSL1,False
MCM3,False
MCM7,False
MET,False
MIF,False
MMP1,False
MMP12,False
MX1,False
NCL,False
NME1,False
NME2,False
NPM1,False
NQO1,False
OAS1,False
OAS3,False
PAICS,False
PARP14,False
PCNA,False
PERP,False
PHLDA1,False
PHLDA2,False
PKM,False
POMP,False
PPA1,False
PRDX1,False
PSMA2,False
PSMA4,False
PSMA6,False
PSMB4,False
PSMB8,False
PSMB9,False
PSME1,False
PSME2,False
PTTG1,False
RAN,False
RANBP1,False
RARRES1,False
RNF213,False
RPL17,False
RPL22L1,False
RPL36A,False
RPL36AL,False
RPL37,False
RPL38,False
RPS19,False
RPS21,False
RPS7,False
RRM2,False
S100A11,False
S100A14,False
S100A16,False
S100A6,False
SCO2,False
SECTM1,False
SET,False
SFN,False
SLC7A5,False
SLIRP,False
SNHG25,False
SNHG5,False
SNHG6,False
SNRPD1,False
SNRPD2,False
SNRPE,False
SNRPF,False
SNRPG,False
SOD1,False
SOD2,False
STAT1,False
STMN1,False
TAP1,False
TESC,False
TNFSF9,False
TOP2A,False
TUBA1C,False
TUBB,False
TXN,False
TYMP,False
TYMS,False
UBD,False
UBE2C,False
UBE2S,False
UQCRH,False
VSNL1,False
WARS,False
